Original ID,Master Question,Category,Ground Truth,Answer,Source,has_ground_truth
Q011,"Sau khi tốt nghiệp, sinh viên ngành Công nghệ thông tin có thể đảm nhận những vị trí việc làm nào?",academic_program,"Nhà tư vấn, giám sát, nhà lãnh đạo lĩnh vực công nghệ thông tin cho các tổ chức, doanh nghiệp hay cá nhân. Lập trình viên, kỹ thuật viên, quản trị viên hệ thống công nghệ thông tin cho các tổ chức, doanh nghiệp hay cá nhân. Cán bộ nghiên cứu, phân tích trong lĩnh vực công nghệ thông tin tại các viện nghiên cứu hay các trường đại học. Giảng viên giảng dạy ở các trường đại học, cao đẳng, trung học chuyên nghiệp, trung học phổ thông.","Sau khi tốt nghiệp ngành Công nghệ thông tin tại Trường Đại học Cần Thơ, sinh viên có thể đảm nhận các vị trí việc làm sau:

*   Nhà tư vấn, giám sát, nhà lãnh đạo lĩnh vực công nghệ thông tin cho các tổ chức, doanh nghiệp hay cá nhân.
*   Lập trình viên, kỹ thuật viên, quản trị viên hệ thống công nghệ thông tin cho các tổ chức, doanh nghiệp hay cá nhân.
*   Cán bộ nghiên cứu, phân tích trong lĩnh vực công nghệ thông tin tại các viện nghiên cứu hay các trường đại học.
*   Giảng viên giảng dạy ở các trường đại học, cao đẳng, trung học chuyên nghiệp, trung học phổ thông.

---
📌 **Nguồn tham khảo:** [4. Vị trí việc làm của người tốt nghiệp](/api/pdfs/66_7480201_CongNgheThongTin.pdf)",66_7480201_CongNgheThongTin.md,True
Q012,"Học phần ""Phân tích và thiết kế thuật toán"" (ngành Kỹ thuật Phần mềm) yêu cầu học phần tiên quyết nào?",academic_program,"Học phần ""Phân tích và thiết kế thuật toán"" yêu cầu học phần tiên quyết: CT177.","Chào bạn, dựa trên thông tin chương trình đào tạo ngành Kỹ thuật Phần mềm – Chương trình chất lượng cao (mã ngành 7480103C), học phần **""Phân tích và thiết kế thuật toán""** (Mã số: CT109H) có yêu cầu học phần tiên quyết là:

* **Cấu trúc dữ liệu** (Mã số: CT177H)

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO TRÌNH ĐỘ ĐẠI HỌC](/api/pdfs/71_7480103C_KyThuatPhanMem_CTCLC.pdf)",70_7480103_KyThuatPhanMem.md,True
Q013,Ngành Công nghệ thông tin được đào tạo theo những hình thức nào?,academic_program,"Hình thức đào tạo của ngành Công nghệ thông tin là: Chính quy, Vừa làm vừa học, Đào tạo từ xa.","Chào bạn, với tư cách là trợ lý ảo tư vấn học vụ của Trường Đại học Cần Thơ, mình xin giải đáp thắc mắc của bạn về các hình thức đào tạo của ngành Công nghệ thông tin như sau:

Hiện nay, ngành Công nghệ thông tin (mã ngành 7480201) tại Trường Đại học Cần Thơ được tổ chức đào tạo theo các hình thức sau:

*   **Chính quy**
*   **Vừa làm vừa học**
*   **Đào tạo từ xa**

---
📌 **Nguồn tham khảo:** [Thông tin chung về chương trình đào tạo](/api/pdfs/66_7480201_CongNgheThongTin.pdf)",66_7480201_CongNgheThongTin.md,True
Q014,"Trong chương trình đào tạo ngành Kỹ thuật Phần mềm – Chương trình chất lượng cao, học phần có mã số XH028 tên là gì?",academic_program,"Học phần có mã số XH028 là ""Xã hội học đại cương"".","Học phần có mã số XH028 trong chương trình đào tạo ngành Kỹ thuật Phần mềm – Chương trình chất lượng cao có tên là: **Xã hội học đại cương**.

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO TRÌNH ĐỘ ĐẠI HỌC/7. Khung chương trình đào tạo/](/api/pdfs/71_7480103C_KyThuatPhanMem_CTCLC.pdf)",71_7480103C_KyThuatPhanMem_CTCLC.md,True
Q015,"Trong chương trình đào tạo ngành Kỹ thuật Phần mềm, học phần có mã số XH032 tên là gì?",academic_program,"Học phần có mã số XH032 là ""Anh văn tăng cường 2 (*)"".","Học phần có mã số XH032 trong chương trình đào tạo ngành Kỹ thuật Phần mềm có tên là: **Anh văn tăng cường 2**.

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO TRÌNH ĐỘ ĐẠI HỌC](/api/pdfs/70_7480103_KyThuatPhanMem.pdf)",70_7480103_KyThuatPhanMem.md,True
Q016,"Học phần ""Phát triển ứng dụng trên Linux"" (ngành Công nghệ thông tin (chất lượng cao)) yêu cầu học phần tiên quyết nào?",academic_program,"Học phần ""Phát triển ứng dụng trên Linux"" yêu cầu học phần tiên quyết: CT108H, CT110H.","Học phần ""Phát triển ứng dụng trên Linux"" (mã số: CT211H) trong chương trình đào tạo ngành Công nghệ thông tin (chất lượng cao) yêu cầu các học phần tiên quyết sau:

*   Lập trình hướng đối tượng (CT108H)
*   Cơ sở dữ liệu (CT110H)

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO CHẤT LƯỢNG CAO TRÌNH ĐỘ ĐẠI HỌC/7. Khung chương trình đào tạo](/api/pdfs/67_7480201C_CongNgheThongTin_CTCLC.pdf)",67_7480201C_CongNgheThongTin_CTCLC.md,True
Q017,"Học phần ""Tiểu luận tốt nghiệp - CNTT"" (ngành Công nghệ thông tin) yêu cầu học phần tiên quyết nào?",academic_program,"Học phần ""Tiểu luận tốt nghiệp - CNTT"" yêu cầu học phần tiên quyết: ≥120TC.","Hiện tại dữ liệu được cung cấp chưa có thông tin về học phần ""Tiểu luận tốt nghiệp - CNTT"".

Tuy nhiên, trong chương trình đào tạo ngành Công nghệ thông tin (chất lượng cao), học phần tương ứng ở giai đoạn cuối khóa là **""Luận văn tốt nghiệp - CNTTCLC""** (Mã số: CT550H). Học phần này yêu cầu học phần tiên quyết là: **> 120 TC**.

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO CHẤT LƯỢNG CAO TRÌNH ĐỘ ĐẠI HỌC](/api/pdfs/67_7480201C_CongNgheThongTin_CTCLC.pdf)",66_7480201_CongNgheThongTin.md,True
Q018,"Học phần ""Mạng máy tính"" (ngành Trí tuệ nhân tạo) yêu cầu học phần tiên quyết nào?",academic_program,"Học phần ""Mạng máy tính"" yêu cầu học phần tiên quyết: CT178.","Học phần ""Mạng máy tính"" (mã số: CT112) trong chương trình đào tạo ngành Trí tuệ nhân tạo yêu cầu học phần tiên quyết là: **Nguyên lý hệ điều hành** (mã số: CT178).

---
📌 **Nguồn tham khảo:** [Khung chương trình đào tạo](/api/pdfs/108_7480107_TriTueNhanTao.pdf)",108_7480107_TriTueNhanTao.md,True
Q019,"Khối kiến thức ""Khối kiến thức Giáo dục đại cương"" trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu có tổng cộng bao nhiêu tín chỉ?",academic_program,"Khối kiến thức ""Khối kiến thức Giáo dục đại cương"" của ngành Mạng máy tính và truyền thông dữ liệu: 56 TC (Bắt buộc: 41 TC; Tự chọn: 15 TC).","Khối kiến thức ""Khối kiến thức Giáo dục đại cương"" trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu có tổng cộng 56 tín chỉ (trong đó bao gồm 41 tín chỉ bắt buộc và 15 tín chỉ tự chọn).

---
📌 **Nguồn tham khảo:** [Khối kiến thức Giáo dục đại cương](/api/pdfs/72_7480102_MangMayTinhVaTruyenThongDuLieu.pdf)",72_7480102_MangMayTinhVaTruyenThongDuLieu.md,True
Q020,"Học phần ""Đổi mới sáng tạo và khởi nghiệp"" trong chương trình đào tạo ngành Hệ thống thông tin có mã số và số tín chỉ là bao nhiêu?",academic_program,"Học phần Đổi mới sáng tạo và khởi nghiệp có mã số KN002E, số tín chỉ là 2, số tiết là 20 LT, 20 TH.","Học phần ""Đổi mới sáng tạo và khởi nghiệp"" trong chương trình đào tạo ngành Hệ thống thông tin có thông tin như sau:

- Mã số: KN002E
- Số tín chỉ: 2 tín chỉ

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO TRÌNH ĐỘ ĐẠI HỌC/7. Khung chương trình đào tạo](/api/pdfs/68_7480104_HeThongThongTin.pdf)",68_7480104_HeThongThongTin.md,True
Q021,"Học phần ""Anh văn căn bản 3 (*)"" trong chương trình đào tạo ngành Công nghệ thông tin có mã số và số tín chỉ là bao nhiêu?",academic_program,"Học phần Anh văn căn bản 3 (*) có mã số XH025, số tín chỉ là 3, số tiết là 45 LT.","Học phần ""Anh văn căn bản 3 (*)"" trong chương trình đào tạo ngành Công nghệ thông tin có thông tin chi tiết như sau:

- **Mã số:** XH025
- **Số tín chỉ:** 3 tín chỉ

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO TRÌNH ĐỘ ĐẠI HỌC/7. Khung chương trình đào tạo](/api/pdfs/66_7480201_CongNgheThongTin.pdf)",66_7480201_CongNgheThongTin.md,True
Q022,"Khối kiến thức ""Khối kiến thức Giáo dục đại cương"" trong chương trình đào tạo ngành Công nghệ thông tin (chất lượng cao) có tổng cộng bao nhiêu tín chỉ?",academic_program,"Khối kiến thức ""Khối kiến thức Giáo dục đại cương"" của ngành Công nghệ thông tin (chất lượng cao): 44 TC (Bắt buộc: 39 TC; Tự chọn: 5 TC).","Khối kiến thức ""Khối kiến thức Giáo dục đại cương"" trong chương trình đào tạo ngành Công nghệ thông tin (chất lượng cao) có tổng cộng 44 tín chỉ (trong đó bao gồm 39 tín chỉ bắt buộc và 5 tín chỉ tự chọn).

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO CHẤT LƯỢNG CAO TRÌNH ĐỘ ĐẠI HỌC/7. Khung chương trình đào tạo](/api/pdfs/67_7480201C_CongNgheThongTin_CTCLC.pdf)",67_7480201C_CongNgheThongTin_CTCLC.md,True
Q023,"Thời gian học tập tối đa để hoàn thành chương trình đào tạo thiết kế 4,5 năm là bao lâu?",academic_rules,"Sinh viên theo học chương trình đào tạo có thời gian thiết kế 4,5 năm được học tập tối đa 9 năm để hoàn thành chương trình.","Thời gian học tập tối đa để hoàn thành chương trình đào tạo có thời gian thiết kế 4,5 năm là 9 năm.",quychehocvu.md,True
Q024,Ngành Khoa học máy tính được đào tạo theo những hình thức nào?,academic_program,"Hình thức đào tạo của ngành Khoa học máy tính là: Chính quy, Vừa làm vừa học, Đào tạo từ xa.","Chào bạn, với tư cách là trợ lý ảo tư vấn học vụ của Trường Đại học Cần Thơ, mình xin giải đáp thắc mắc của bạn về hình thức đào tạo ngành Khoa học máy tính như sau:

Ngành Khoa học máy tính (mã ngành 7480101) tại Trường Đại học Cần Thơ được đào tạo theo các hình thức sau:
*   Chính quy
*   Vừa làm vừa học
*   Đào tạo từ xa

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO TRÌNH ĐỘ ĐẠI HỌC](/api/pdfs/73_7480101_KhoaHocMayTinh.pdf)",73_7480101_KhoaHocMayTinh.md,True
Q025,"Học phần ""Nguyên lý xây dựng phần mềm"" trong chương trình đào tạo ngành Kỹ thuật Phần mềm có mã số và số tín chỉ là bao nhiêu?",academic_program,"Học phần Nguyên lý xây dựng phần mềm có mã số CT240E, số tín chỉ là 3 (Bắt buộc), số tiết là 45 LT, 0 TH.","Học phần ""Nguyên lý xây dựng phần mềm"" trong chương trình đào tạo ngành Kỹ thuật Phần mềm có thông tin như sau:

- Mã số: CT240E
- Số tín chỉ: 3 tín chỉ

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO TRÌNH ĐỘ ĐẠI HỌC](/api/pdfs/70_7480103_KyThuatPhanMem.pdf)",70_7480103_KyThuatPhanMem.md,True
Q026,"Học phần ""Lý Thuyết đồ thị"" (ngành Hệ thống thông tin) yêu cầu học phần tiên quyết nào?",academic_program,"Học phần ""Lý Thuyết đồ thị"" yêu cầu học phần tiên quyết: CT177.","Hiện tại dữ liệu được cung cấp chưa có thông tin về học phần ""Lý Thuyết đồ thị"" trong chương trình đào tạo ngành Hệ thống thông tin.

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO TRÌNH ĐỘ ĐẠI HỌC](/api/pdfs/69_7480104C_HeThongThongTin_CTCLC.pdf)",68_7480104_HeThongThongTin.md,True
Q027,"Sau khi tốt nghiệp, sinh viên ngành Hệ thống thông tin có thể đảm nhận những vị trí việc làm nào?",academic_program,"Lập trình viên trong các công ty, tập đoàn sản xuất, gia công phần mềm. Chuyên viên phân tích dữ liệu, tư vấn, thiết kế giải pháp hệ thống, tổ chức lập dự án, hoạch định chính sách phát triển Hệ thống thông tin cho các tổ chức và doanh nghiệp. Chuyên viên phân tích thiết kế hệ thống trong các công ty, tập đoàn sản xuất phần mềm. Cán bộ quản lý dự án phần mềm, giám đốc thông tin (CIO). Giảng viên/giáo viên CNTT tại các trường Đại học, Cao đẳng, THPT, THCS, tiểu học.","Sau khi tốt nghiệp ngành Hệ thống thông tin tại Trường Đại học Cần Thơ, sinh viên có thể đảm nhận các vị trí việc làm sau:

* Lập trình viên trong các công ty, tập đoàn sản xuất, gia công phần mềm.
* Chuyên viên phân tích dữ liệu, tư vấn, thiết kế giải pháp hệ thống, tổ chức lập dự án, hoạch định chính sách phát triển Hệ thống thông tin cho các tổ chức và doanh nghiệp.
* Chuyên viên phân tích thiết kế hệ thống trong các công ty, tập đoàn sản xuất phần mềm.
* Cán bộ quản lý dự án phần mềm, giám đốc thông tin (CIO).
* Giảng viên/giáo viên CNTT tại các trường Đại học, Cao đẳng, THPT, THCS, tiểu học.

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO TRÌNH ĐỘ ĐẠI HỌC](/api/pdfs/68_7480104_HeThongThongTin.pdf)",68_7480104_HeThongThongTin.md,True
Q028,"Học phần ""Lập trình web"" trong chương trình đào tạo ngành Trí tuệ nhân tạo có mã số và số tín chỉ là bao nhiêu?",academic_program,"Học phần Lập trình web có mã số CT428, số tín chỉ là 3 (Bắt buộc), số tiết là 30 LT, 30 TH.","Học phần ""Lập trình web"" trong chương trình đào tạo ngành Trí tuệ nhân tạo có thông tin như sau:

- Mã số: CT428
- Số tín chỉ: 3

---
📌 **Nguồn tham khảo:** [Khối kiến thức chuyên ngành](/api/pdfs/108_7480107_TriTueNhanTao.pdf)",108_7480107_TriTueNhanTao.md,True
Q029,"Trong chương trình đào tạo ngành Công nghệ thông tin, học phần có mã số FL001 tên là gì?",academic_program,"Học phần có mã số FL001 là ""Pháp văn căn bản 1 (*)"".","Trong chương trình đào tạo ngành Công nghệ thông tin, học phần có mã số FL001 có tên là: **Pháp văn căn bản 1**.

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO TRÌNH ĐỘ ĐẠI HỌC/7. Khung chương trình đào tạo/](/api/pdfs/66_7480201_CongNgheThongTin.pdf)",66_7480201_CongNgheThongTin.md,True
Q030,"Học phần ""Phân tích yêu cầu phần mềm"" (ngành Kỹ thuật Phần mềm) yêu cầu học phần tiên quyết nào?",academic_program,"Học phần ""Phân tích yêu cầu phần mềm"" yêu cầu học phần tiên quyết: CT113, CT182.","Hiện tại dữ liệu được cung cấp chưa có thông tin về học phần ""Phân tích yêu cầu phần mềm"". Trong chương trình đào tạo ngành Kỹ thuật Phần mềm (mã ngành 7480103C), các học phần liên quan đến phân tích hệ thống/phần mềm được liệt kê trong ngữ cảnh bao gồm:

*   **Phân tích và thiết kế hệ thống** (Mã số: CT112H): Học phần tiên quyết là CT110H.
*   **Phân tích và Thiết kế phần mềm** (Mã số: CT582H): Học phần tiên quyết là CT114H.

---
📌 **Nguồn tham khảo:** [CHƯƠNG TRÌNH ĐÀO TẠO TRÌNH ĐỘ ĐẠI HỌC](/api/pdfs/71_7480103C_KyThuatPhanMem_CTCLC.pdf)",70_7480103_KyThuatPhanMem.md,True
Q031,Mã ngành của chương trình đào tạo Mạng máy tính và truyền thông dữ liệu là gì?,academic_program,Mã ngành của ngành Mạng máy tính và truyền thông dữ liệu là: 7480102.,"Mã ngành của chương trình đào tạo Mạng máy tính và truyền thông dữ liệu là: **7480102**.

---
📌 **Nguồn tham khảo:** [Thông tin chung về chương trình đào tạo](/api/pdfs/72_7480102_MangMayTinhVaTruyenThongDuLieu.pdf)",72_7480102_MangMayTinhVaTruyenThongDuLieu.md,True
